Asset No.,Department,Capitalization Date,QTY,Overall QTY,BUn,Asset description,Other Identifiers,,Status,Corrective Action Taken                                                                              ,
2570,Mechanical,,1,1,PC,Chain Block 10 ton cap.,,,,,
2568,Mechanical,,2,2,PC,Hydraulic Jack 10 ton cap.,,,,,
2567,Mechanical,,2,2,PC,Oil Jack for Slide Frame 50Ton,,,,,
2566,Mechanical,,1,1,PC,Torque Wrench,,,,,
2565,Mechanical,,1,1,PC,Fab. of BC Winding Machine,,,,,
2563,Mechanical,,1,1,PC,Hydraulic Press Large MEB-2000,,,,,
2564,Mechanical,,1,1,PC,Hydraulic Press Small MEA-600,,,,,
2559,Mechanical,,1,1,PC,Heating Plate for Vulc.Machine 2000mmBW,,,,,
2562,Mechanical,,1,1,PC,Water Bag 2000mm for Belt Vulc.Equipt,,,,,
2557,Mechanical,,5,5,PC,Chain Block 2 Ton Cap.,,,,,
2558,Mechanical,,2,2,PC,Hoist Lever 1.5T Cap.,,,,,
2556,Mechanical,,1,1,PC,Chain Block 2-ton cap.,,,,,
2555,Mechanical,,1,1,PC,Hydraulic Jack 10 ton cap.,,,,,
2554,Mechanical,,1,1,PC,Jack Hyd.HSR-5067 w/ H.Pump RP6BR,,,,,
2552,Mechanical,,1,1,PC,Hydraulic Push/Puller 30 ton,,,,,
2553,Mechanical,,1,1,PC,Jack Hyd.HSR-506T w/ H.Pump,,,,,
2551,Mechanical,,1,1,PC,Smith Oxy/Ace Regulator,,,,,
2550,Mechanical,,2,2,PC,Wrench Erection 32mm,,,,,
2549,Mechanical,,1,1,PC,Cutter Automatic GAS KT-5N,,,,,
2548,Mechanical,,1,1,PC,Fab of BC Winding Machine,,,,,
2546,Mechanical,,3,3,PC,Chain Block 1.5 Ton Cap,,,,,
2547,Mechanical,,1,1,PC,Hoist Coping 1.5 Ton,,,,,
2545,Mechanical,,1,1,PC,Hoist Coping 1.5 Ton,,,,,
2543,Mechanical,,1,1,PC,Tester Tension & Comp'n 4.5kg cap,,,,,
2544,Mechanical,,1,1,PC,Tester Tension & Comp'n 1000g cap,,,,,
2541,Mechanical,,1,1,PC,Power Hacksaw 1/3HP 40x15x30,,,,,
2542,Mechanical,,1,1,PC,Hacksaw Blade (Front & Rear),,,,,
2540,Mechanical,,1,1,PC,Lubricator Yamaha w/ grease nozzle,,,,,
2539,Mechanical,,1,1,PC,Mechanical Puller CG285 Snap-on,,,,,
2538,Mechanical,,1,1,PC,"Lubricator Type:NER 2-5, 2 ltrs",,,,,
2537,Mechanical,,1,1,PC,Alignment System Model ALI-2000,,,,,
2535,Mechanical,,1,1,PC,Welding Machine Hitachi AC-ARC Type,,,,,
2536,Mechanical,,1,1,PC,Welding Machine 220V 500A 43KVA,,,,,
2533,Mechanical,,1,1,PC,Digital Thermometer TMDT1,,,,,
2534,Mechanical,,1,1,PC,Wrench Impact 25mm cap 1drive,,,,,
2532,Mechanical,,2,2,PC,Tools CLF Impeller Hub,,,,,
2531,Mechanical,,1,1,PC,SDK Electric Light Cutter,,,,,
2530,Mechanical,,1,1,PC,Lubricator Oil CS-12,,,,,
2529,Mechanical,,1,1,PC,Oil Changer Asembly,,,,,
2528,Mechanical,,1,1,PC,Lubricator Yamaha 880-I 45HPPH10A45,,,,,
2527,Mechanical,,1,1,PC,Rachet 32 Tooth 3/4 Drive GL72TH,,,,,
2526,Mechanical,,1,1,PC,Weld Fume Extractor Model SRF 2800,,,,,
2667,Mechanical,,1,1,PC,Hoist Lever 1-1/2 cap.Mod L3-312,,,,,
2525,Mechanical,,1,1,PC,Indentor Handheld Impact #316-2,,,,,
2524,Mechanical,,1,1,PC,Gauge Ultrasonic Thickness,,,,,
2523,Mechanical,,1,1,PC,Threader Pipe RIDGID 1/2 Dia,,,,,
2521,Mechanical,,1,1,PC,File Set Snap-on HBN120,,,,,
2522,Mechanical,,1,1,PC,Drill Straight Shank 27mm,,,,,
2520,Mechanical,,1,1,PC,Probe Thermometer TIH 050/100-6,,,,,
2519,Mechanical,,5,5,PC,Block Chain 2-ton cap.,,,,,
2518,Mechanical,,1,1,PC,Lubricator Oil CS-12,,,,,
2515,Mechanical,,1,1,PC,Hydraulic Puller Set Model Master,,,,,
2516,Mechanical,,1,1,PC,Block Chain 2-ton cap,,,,,
2517,Mechanical,,1,1,PC,Hoist Coping 1-1/2 ton cap,,,,,
2514,Mechanical,,5,5,PC,Chain Block 3-tonner,,,,,
2513,Mechanical,,1,1,PC,Thickness Meter(Steel Cord Conv.Belt),,,,,
2510,Mechanical,,4,4,PC,Chain Block 5 Tonner,,,,,
2511,Mechanical,,5,5,PC,Chain Block 2-ton cap,,,,,
2512,Mechanical,,5,5,PC,Hoist Coping 1.5 ton cap,,,,,
2508,Mechanical,,1,1,PC,SKF CMVP 10 Vibration Pen,,,,,
2509,Mechanical,,1,1,PC,SKF Vibration Pen w/ Protective Case,,,,,
2507,Mechanical,,1,2,PC,Grinder Bench Wheel Size 7x1x5/8,,,,,
2666,Mechanical,,1,1,PC,Tamper Handheld Tie Model TT-B2,,,,,
2506,Mechanical,,1,2,PC,Vise Bench (Stationary) Jaw Width 8,,,,,
2505,Mechanical,,1,1,PC,Hoist Lever L4-505 1.5Tons,,,,,
2504,Mechanical,,1,1,PC,"Drill,Electric Magnetic Base",,,,,
2501,Mechanical,,6,6,PC,"Hand Hoist Series 622,3-Ton Cap",,,,,
2502,Mechanical,,6,6,PC,"Lever Tool Series 637,1-1/2Ton Cap",,,,,
2503,Mechanical,,4,4,PC,"Hand Hoist Series 622,2-Ton Cap",,,,,
2500,Mechanical,,1,1,PC,"Hoist,Lever L4-505,1.5 Tons",,,,,
2498,Mechanical,,1,1,PC,"Cylinder,Model:RC 251, 25Tons",,,,,
2499,Mechanical,,1,1,PC,"Cylinder,Model:RC 254, 25Tons",,,,,
2497,Mechanical,,3,3,PC,"Grinder,Portable Straight",,,,,
2495,Mechanical,,1,1,PC,Compression Tester,,,,,
2496,Mechanical,,1,1,PC,Compression Tester,,,,,
2494,Mechanical,,1,1,PC,Compression Tester,,,,,
2490,Mechanical,,1,1,PC,"Hydraulic Jack,20-Ton Cap.",,,,,
2491,Mechanical,,1,1,PC,"Hydraulic Jack,30-Ton Cap.",,,,,
2492,Mechanical,,1,1,PC,"Hydraulic Hand Pump,Model:P-39",,,,,
2493,Mechanical,,1,1,PC,"Hydraulic Hand Pump,Model:P-80",,,,,
2489,Mechanical,,1,1,PC,"Mechanical Puller,Style:3-Jaw",,,,,
2487,Mechanical,,3,3,PC,"Cylinder,25-Ton Cap.M:No RC-254",,,,,
2488,Mechanical,,3,3,PC,"Cylinder,25-Ton Cap.M:RC-251",,,,,
2483,Mechanical,,6,6,PC,"Chain Block, 3-Tonner",,,,,
2484,Mechanical,,9,9,PC,"Coffing Hoist, 1-1/2 Ton Cap.",,,,,
2485,Mechanical,,6,6,PC,"Chain Block, 2-Tonner",,,,,
2486,Mechanical,,6,6,PC,"Chain Block, 5-Tonner",,,,,
2482,Mechanical,,4,4,PC,"Welding Machine,220V,500A,43KVA",,,,,
2662,Mechanical,,1,1,PC,Crimping Tool for Amphenol RJ-45,,,,,
2481,Mechanical,,1,1,PC,"Prime Cut,Ultrathermic Gas Cutting",,,,,
2480,Mechanical,,2,2,PC,"Handle,Socket Ratchet 1 Drive",,,,,
2478,Mechanical,,1,1,PC,"Monitoring Bearing System,SKF CMPS",,,,,
2477,Mechanical,,4,4,PC,"Grinder,180mm,Makita Disc",,,,,
2476,Mechanical,,2,2,PC,"Chain Block,10-Tonner",,,,,
2475,Mechanical,,1,1,PC,Motorized Motor Pump for Vulcanizing,,,,,
2474,Mechanical,,2,2,PC,Dial Gauge Indicator w/Magnetic Base Stand,,,,,
2473,Mechanical,,1,1,PC,"Air Compressor,Energair",,,,,
2470,Mechanical,,1,1,PC,"Spanner,Sledge Hammer,Size=100mm",,,,,
2471,Mechanical,,1,1,PC,"Spanner,Sledge Hammer,Size=90mm",,,,,
2472,Mechanical,,1,1,PC,"Spanner,Sledge Hammer,Size=110mm",,,,,
2469,Mechanical,,1,1,PC,Portable Vulcanizing Machine,,,,,
2468,Mechanical,,1,1,PC,Steel Scaffolding Plate,,,,,
2467,Mechanical,,1,1,PC,"Winch,Electric,Model:Silver Winch",,,,,
2466,Mechanical,,1,1,PC,Dial Gauge Indicator w/Magnet.Base,,,,,
2465,Mechanical,,1,1,PC,"Coupling Assy. Fluid,21HEM-A (32B",,,,,
2464,Mechanical,,1,1,PC,"P.Lathe Mach.,PL1100,Elec.Driven",,,,,
2462,Mechanical,,1,1,PC,"Lathe M.Chuck,Independent,M:K-123",,,,,
2463,Mechanical,,1,1,PC,"Lathe M.Chuck,Scroll,3-Jaws,K-117",,,,,
2461,Mechanical,,2,2,PC,"Coupling Hoist,Lever Block,1-1/2 Tons",,,,,
2460,Mechanical,,4,4,PC,"Chain Block, 1.5 Tons",,,,,
2458,Mechanical,,1,1,PC,"Torque Wrench,Man.Stah.NR730/20",,,,,
2459,Mechanical,,1,1,PC,"Torque Wrench,Man.Stah.73 NM/25",,,,,
2457,Mechanical,,1,1,PC,"Bit,Drill Tin-Coated Solid Carbide",,,,,
2456,Mechanical,,2,2,PC,"Coupling,Hoist,Mini Lever,1.5-Tons",,,,,
2455,Mechanical,,1,1,PC,"Tools, CLF Impeller Hub",,,,,
2452,Mechanical,,8,8,PC,"Block,Chain,3-ton.cap,Model:CB-030",,,,,
2454,Mechanical,,1,1,PC,"Block,Chain,5-ton.cap,Model:CB-050",,,,,
2451,Mechanical,,1,1,PC,"Hydraulic Nut, HMV30;Maker:SKF",,,,,
2449,Mechanical,,6,6,PC,"Hoist,Lever,1.5T;Lift:3M;LBO15;L-4",,,,,
2450,Mechanical,,6,6,PC,"Hoist,Lever,1.5T,Lift:1.5M;LBO15",,,,,
2448,Mechanical,,8,8,PC,"Hoist,Lever;1.5T;Lift:1.5M;LBO15",,,,,
2446,Mechanical,,4,4,PC,"Block, Chain,5-Tons,Model:CB-050",,,,,
2447,Mechanical,,1,1,PC,Belt Edge Vulc'r.w/al.fr;M:ANEV54,,,,,
2445,Mechanical,,3,3,PC,"Pail,Dispenser Luber,Grac.M:225-914",,,,,
2444,Mechanical,,1,1,PC,Durmetal Handy Kit;2.5kg;Dur.Std.A&B,,,,,
2443,Mechanical,,1,1,PC,Pneu.Grease Pump Assy;LincMod:926,,,,,
2440,Mechanical,,6,6,PC,"Grinder,Pn.St;NH6650LW,NPK14,600RPM",,,,,
2441,Mechanical,,4,4,PC,"Grinder,Pneu.St;NH665K,NPK18,000RPM",,,,,
2442,Mechanical,,4,4,PC,"Cutter,Wire Rope;16mmcut.cap;900mmL",,,,,
2438,Mechanical,,1,1,PC,Reducer Feeding Motor #1 PMED-12DA13,,,,,
2439,Mechanical,,1,1,PC,#37 Box Composition Remote Control 20-1261,,,,,
2436,Mechanical,,1,1,PC,Pump Assy Lower PN:800-366,,,,,
2437,Mechanical,,2,2,PC,Plunger PN:801-201,,,,,
2434,Mechanical,,3,3,PC,Grinder Portable Straight Makita,,,,,
2435,Mechanical,,5,5,PC,Grinder Portable Medium,,,,,
2433,Mechanical,,2,2,PC,Prime Cut Ultrathermic Gas Cutting,,,,,
2432,Mechanical,,2,2,PC,Block Wire Rope Double 4.5T,,,,,
2431,Mechanical,,1,1,PC,Gun and Cable Assy for Teromatic,,,,,
2430,Mechanical,,1,1,PC,Snatchblock HD All Purpose,,,,,
2429,Mechanical,,4,4,PC,Socket Wrench 1/2 8MM-36MM,,,,,
2428,Mechanical,,3,3,PC,Prime Cut Ultrathermic Gas Cutting,,,,,
2427,Mechanical,,2,2,PC,"Snatchblock, wire rope 6.5T cap.",,,,,
2426,Mechanical,,1,1,PC,Mits. 6DR5 Engine/K65 engine/6DR14,,,,,
2425,Mechanical,,1,1,PC,O-Ring Sizing Cone w/ PI tape,,,,,
2424,Mechanical,,1,1,PC,Calipher Digital Stainless Steel,,,,,
2423,Mechanical,,1,1,PC,Aircompressor EnergyAir,,,,,
2422,Mechanical,,1,1,PC,Gun and Cable Assy for Teromatic,,,,,
2665,Mechanical,,1,1,PC,Elec.Planner 4 Makita Brand,,,,,
2664,Mechanical,,1,1,PC,"Threader Assy, Pipe 3",,,,,
2421,Mechanical,,3,3,PC,Ultrasonic Thickness Gauge,,,,,
2663,Mechanical,,1,1,PC,Jack Hammer w/ pointed blade,,,,,
2420,Mechanical,,1,2,PC,Piston Tools Set#8,,,,,
2417,Mechanical,,2,2,PC,Block Chain 2-ton cap.,,,,,
2416,Mechanical,,4,4,PC,Coupling Hoist Lever Block 1 1/2 ton cap.,,,,,
2413,Mechanical,,2,2,PC,Chain Block 3T cap,,,,,
2272,Mechanical,,1,1,PC,Plasma Torch Head,,,,,
2269,Mechanical,,1,1,PC,POSI Lock Hydraulic Grip Puller,,,,,
2264,Mechanical,,1,1,PC,Magnetic base accelator for SKF,,,,,
2287,Mechanical,,1,1,PC,Demolition Hammer BH40F,,,,,
2286,Mechanical,,1,1,PC,Hand Tap M48,,,,,
2284,Mechanical,,1,1,PC,Separator Model U53T3,,,,,
2285,Mechanical,,1,1,PC,Pulling Kit Model U-53J1,,,,,
2282,Mechanical,,2,2,PC,Pneumatic Grease Pump,,,,,
2294,Mechanical,,1,1,PC,Calipher Digital,,,,,
2292,Mechanical,,3,3,PC,Ultrasonic Thickness Gauge,,,,,
2325,Mechanical,,5,5,PC,Dial Gauge Indicator,,,,,
2323,Mechanical,,2,2,PC,Drill Bit 50mm Dormer,,,,,
2327,Mechanical,,1,1,PC,Portable Electric Mixer,,,,,
2321,Mechanical,,3,3,PC,Infrared Thermometer (non-contact),,,,,
2326,Mechanical,,2,2,PC,Drill Bit 45mm Dormer,,,,,
2314,Mechanical,,1,1,PC,Gun & Cable Assy for Teromatic,,,,,
2315,Mechanical,,1,1,PC,Upgraded Laser Shaft Alignment Tool,,,,,
2306,Mechanical,,4,4,PC,"Magnetic Stand, Universal #7015",,,,,
2333,Mechanical,,1,1,PC,Repair Kit for Pneumatic Grease Pump,,,,,
2332,Mechanical,,1,1,PC,Gun & Cable Assy-for Teromatic,,,,,
2337,Mechanical,,1,1,SET,Maintenance tools,,,,,
2336,Mechanical,,2,2,PC,Gun and Cable Assy for Teromatic,,,,,
2338,Mechanical,,1,1,PC,Portable Grease Gun Battery Operated,,,,,
2341,Mechanical,,5,5,PC,Hydraulic Jack Brand:Hydrotec,,,,,
2340,Mechanical,,2,2,PC,"Valve, High Pressure Model 740",,,,,
2339,Mechanical,,2,2,PC,"Blower, Handheld Portable Electric",,,,,
2895,Mechanical,,1,1,UN,"GRINDER,ANGLE 125MMDIA MODEL:9005B (MEC)",,,,,
2896,Mechanical,,1,1,UN,"GRINDER,ANGLE 125MMDIA MODEL:9005B (MEC)",,,,,
2931,Mechanical,,1,1,PC,"COUPLING HOIST, LEVERBLOCK 1-1/12TON (MEC)",,,,,
2932,Mechanical,,1,1,PC,"COUPLING HOIST, LEVERBLOCK 1-1/12TON (MEC)",,,,,
2933,Mechanical,,1,1,PC,"COUPLING HOIST, LEVERBLOCK 1-1/12TON (MEC)",,,,,
2934,Mechanical,,1,1,PC,"COUPLING HOIST, LEVERBLOCK 1-1/12TON (MEC)",,,,,
2961,Mechanical,,1,1,PC,"HAMMER, SLEDGE, PROTO USA 1437-G, SIZE 32 (MECH)",,,,,
2962,Mechanical,,1,1,PC,"WRENCH, SLEDGE HAMMER RING-END, 32 MM (MECH)",,,,,
2963,Mechanical,,1,1,PC,"WRENCH, SLEDGE HAMMER RING-END, 36 MM (MECH)",,,,,
2964,Mechanical,,1,1,PC,"WRENCH, SLEDGE HAMMER RING-END, 41 MM (MECH)",,,,,
2965,Mechanical,,1,1,PC,"WRENCH, SLEDGE HAMMER RING-END, 50 MM (MECH)",,,,,
3046,Mechanical,,1,1,UN,"DETECTOR, MULTI-GAS, PORTABLE PERSONAL, TETRA 3",,,,,
3062,Mechanical,,1,1,UN,"TOOLS, CUTTING OUTFIT OXY/ACE, ASSEMBLY (MEC)",,,,,
3080,Mechanical,,1,1,UN,"TOOLS, CUTTING OUTFIT OXY/ACE, ASSEMBLY (MEC)",,,,,
3125,Mechanical,,1,1,UN,ULTRASONIC GAUGE -  Model  TI-45N (MEC),,,,,
3268,Mechanical,,1,1,UN,"TEMPERATURE SENSOR, MODEL PT100 (ELE)",,,,,
3290,Mechanical,,1,1,UN,"GAUGE, ULTRASONIC DIG THICKNESS FOR BC (MEC)",,,,,
3351,Mechanical,,1,1,SET,"HYDRAULIC LOCK NUT CYLINDER, BRAND-ENERPAC (MEC)",,,,,
3352,Mechanical,,1,1,SET,CUTTING OUTFIT ASSY FOR OXY/ACE (MEC),,,,,
3353,Mechanical,,1,1,SET,CUTTING OUTFIT ASSY FOR OXY/ACE (MEC),,,,,
3354,Mechanical,,1,1,SET,CUTTING OUTFIT ASSY FOR OXY/ACE (MEC),,,,,
3355,Mechanical,,1,1,SET,CUTTING OUTFIT ASSY FOR OXY/ACE (MEC),,,,,
3356,Mechanical,,1,1,SET,CUTTING OUTFIT ASSY FOR OXY/ACE (MEC),,,,,
3357,Mechanical,,1,1,SET,CUTTING OUTFIT ASSY FOR OXY/ACE (MEC),,,,,
3358,Mechanical,,1,1,SET,CUTTING OUTFIT ASSY FOR OXY/ACE (MEC),,,,,
3359,Mechanical,,1,1,SET,CUTTING OUTFIT ASSY FOR OXY/ACE (MEC),,,,,
3386,Mechanical,,1,1,UN,"SENSOR TEMPERATURE, PT100 EK3230007 (MECH)",,,,,
3387,Mechanical,,1,1,UN,"SENSOR TEMPERATURE, PT100 EK3230007 (MECH)",,,,,
3406,Mechanical,,1,1,UN,GRINDER ANGLE 125mm DIA-BRAND MAKITA (MECH),,,,,
3407,Mechanical,,1,1,UN,GRINDER ANGLE 125mm DIA-BRAND MAKITA (MECH),,,,,
3408,Mechanical,,1,1,UN,GRINDER ANGLE 125mm DIA-BRAND MAKITA (MECH),,,,,
3814,Mechanical,,1,1,SET,"MONITORING PEN, VIBRATION & TEMP; SKF CMAS100-SL",,,,,
3815,Mechanical,,1,1,SET,"MONITORING PEN, VIBRATION & TEMP; SKF CMAS100-SL",,,,,
3816,Mechanical,,1,1,SET,"MONITORING PEN, VIBRATION & TEMP; SKF CMAS100-SL",,,,,
,,,,0,,,,,,,
2604,Material Handling,12/31/1986,1,1,PC,Crocodile Jack 5-ton cap.,,,,,
2639,Material Handling,10/18/1996,1,1,PC,"Vise,Bench (Stationary) Jaw Wid",,,,,
2283,Material Handling,4/26/2002,1,1,PC,Compressor Head SSCI Ingersol-Rand,Location: Unloader 2,,,,
2309,Material Handling,8/12/2004,1,1,PC,Mechanical Puller 3 Jaws,,,,,
3796,Material Handling,10/31/2018,1,1,PC,NITROGEN CHARGING GROUP; MODEL:CGAE-4;BRAND:HARRIS,,,,,
4147,Material Handling,8/31/2022,1,1,PC,"PORTABLE SLURRY/ENGINE DRIVEN PUMP (ATLAS COPCO),",Location: near South Settling Pond,,,,
4175,Material Handling,12/31/2022,1,1,PC,PORTABLE SLURRY/ENGINE DRIVEN PUMP CAPEX#200298,Location: near South Settling Pond,,,,
4289,Material Handling,12/31/2023,1,1,PC,"BATTERY CHARGER, REGULATED 30AMPS 24VDC 440VAC",Location : PSC Barge,,,,
3456,Material Handling,8/31/2015,1,1,UN,SOLDERING GUN – MODEL WELLER 8100UD 100W (MTH),,,,,
3411,Material Handling,6/30/2015,1,1,UN,INDUCTIVE PROXIMITY SENSOR – AC SWITCH  (ELE),,,,,
3621,Material Handling,12/31/2016,2,2,UN,"SENSOR: WIND MONITOR – HD, MODEL 05108 (MTH)",,,,,
3622,Material Handling,12/31/2016,2,2,UN,"METEOROLOGICAL TRANSLATOR, MODEL 26800 (MTH)",,,,,
3625,Material Handling,12/31/2016,1,1,UN,RIELLO UNINTERRUPTIBLE POWER SUPPLY (UPS) - ELE,,,,,
3626,Material Handling,12/31/2016,1,1,UN,RIELLO UNINTERRUPTIBLE POWER SUPPLY (UPS) - ELE,,,,,
4179,Material Handling,12/31/2022,1,1,PC,"BATTERY CHARGER, REGULATED 30AMPS 24VDC",,,Undergoing Repair,,
2608,Material Handling,,1,1,PC,Caterpillar Hydraulic Hose Press,,,,,
2641,Material Handling,,1,1,PC,"Welding Machine,220V,500A,43KVA",,,,,
2330,Material Handling,,1,1,PC,Air Compressor 2HP,,,,,
3094,Material Handling,,1,1,UN,"GRINDER, MAKITA BRAND (MTH)",,,,,
3193,Material Handling,,1,1,UN,"GRINDER, DC411KA-DEWALT BRAND (MTH)",,,,,
3249,Material Handling,,1,1,UN,"BATTERY CHARGER, BRAND - CRESTON (MTH)",,,,,
3446,Material Handling,,1,1,UN,"ANGLE GRINDER, BRAND-MAKITA, MODEL – N9500N (MTH)",,,,,
2905,Material Handling,,1,1,UN,"PORTABLE GAS DETECTOR, CROWCON TEERA 3 (MTH)",,,,,
2607,Material Handling,,1,1,PC,Hydraulic Handpump (ZD2825),,,,,
2602,Material Handling,,1,1,PC,Hydraulic Wire Cutter 700 kg/cm2,,,,,
2621,Material Handling,,2,2,PC,Block Snatch 8-ton cap 150,,,,,
2622,Material Handling,,2,2,PC,Block Snatch 8-ton cap 150,,,,,
2601,Material Handling,,1,1,PC,Bench Vise Adjustable Jaw Swivel,,,,,
2600,Material Handling,,1,1,PC,Hydraulic Wire Cutter 700 kg/cm2,,,,,
2619,Material Handling,,4,4,PC,Jack Hydraulic 5-ton cap,,,,,
2620,Material Handling,,4,4,PC,Jack Hydraulic 5-ton cap,,,,,
2617,Material Handling,,2,2,PC,Block Snatch Model:NG-1602 Sheave,,,,,
2618,Material Handling,,2,2,PC,Block Snatch Model:NG-1602 Sheave,,,,,
2599,Material Handling,,1,1,PC,Air Compressor Model H5-20,,,,,
2598,Material Handling,,1,1,PC,Machinist Vise Swivel Base,,,,,
2616,Material Handling,,1,1,PC,Yamada Air Power Pump,,,,,
2595,Material Handling,,1,1,PC,Special Tool for Friction Type,,,,,
2596,Material Handling,,0,0,-,Add'l.Cost:Special Tool for Friction,,,,,
2645,Material Handling,,1,1,PC,"Chain Block, 3-Tonner",,,,,
2615,Material Handling,,2,2,PC,"Hoist,Lever,L4-505,1.5 Tons",,,,,
2644,Material Handling,,1,1,PC,"Chain Block, 5-Tonner",,,,,
2643,Material Handling,,2,2,PC,"Caliper,VernierMitotuyo#2198-2",,,,,
2614,Material Handling,,1,1,PC,"Disc Grinder,125mm Dia.220V,1020W",,,,,
2642,Material Handling,,2,2,PC,"Hoist,Coffing,1-1/2 Ton Cap.",,,,,
2594,Material Handling,,1,1,PC,"Pump,Grease Lubricator,Lincoln",,,,,
2613,Material Handling,,1,1,PC,"Swivel Base Util.Bench Vise,Jaw",,,,,
2640,Material Handling,,1,1,PC,"Washer,High Pressure Hot & Cold",,,,,
2610,Material Handling,,4,4,PC,"Hoist,Chain,1-Ton,PWB Anchor C-010",,,,,
2611,Material Handling,,1,1,PC,"Hoist,Lever,L4-505,1.5-Tons",,,,,
2612,Material Handling,,1,1,PC,"Hoist,Chain,2-Tons,PWB Anchor",,,,,
2638,Material Handling,,1,1,PC,"Wrench,Dig.Torq.3/4D;100-600lbs.",,,,,
2609,Material Handling,,2,2,PC,"Hoist,Lever,L4-505,1.5Ton,Vitac Jap.",,,,,
2637,Material Handling,,1,1,PC,"Pump,Air Ope.Grease,HP,Linc.M:926",,,,,
2635,Material Handling,,1,1,PC,"Drill,Press,12-Speed,3/4 cap(20mm)",,,,,
2634,Material Handling,,1,1,PC,Grinder Die Model 906H Makita,,,,,
2630,Material Handling,,1,1,PC,Wrench Rachet 1Drive,,,,,
2631,Material Handling,,1,1,PC,Wrench Rachet 1Drive,,,,,
2632,Material Handling,,1,1,PC,Wrench Rachet 1Drive,,,,,
2633,Material Handling,,1,1,PC,Wrench Rachet 1Drive,,,,,
2628,Material Handling,,1,1,PC,Electric Hand Drill 6301 220V,,,,,
2629,Material Handling,,1,1,PC,Bench Grinder 3/4 HP Block & Decker,,,,,
2627,Material Handling,,1,1,PC,Coffing Hoist 1.5 Ton Cap.,,,,,
2626,Material Handling,,2,2,PC,Wrench Torque 300ft/lb 3/4 drv,,,,,
2623,Material Handling,,1,1,PC,Block Snatch 8 Tons,,,,,
2624,Material Handling,,2,2,PC,Block Snatch 8 Tons,,,,,
2276,Material Handling,,1,1,PC,Ginder Angle Makita Model 90,,,,,
2278,Material Handling,,2,2,PC,Grinder Disc 125mmD 220V 1020W,,,,,
2317,Material Handling,,1,1,PC,Standard Ratchet Handle 1-in. drive,,,,,
2320,Material Handling,,2,2,PC,Standard Ratchet Handle 1-in. drive,,,,,
2312,Material Handling,,2,2,PC,Hoist Lever 1.5T cap. Model L4,,,,,
2757,Material Handling,,1,1,PC,"Inflatable Raft, brand new",,,,,
2812,Material Handling,,1,1,PC,10C-027-B80-MTH INFLATABLE LIFE RAFT,,,,,
3077,Material Handling,,1,1,UN,"TOOLS, CUTTING OUTFIT OXY/ACE, ASSEMBLY (Y&B)",,,,,
3391,Material Handling,,1,1,UN,CUTTING OUTFIT ASSY FOR OXY/ACE (MTH),,,,,
3404,Material Handling,,1,1,UN,CUTTING OUTFIT ASSY FOR OXY/ACE (MTH),,,,,
,,,,0,,,,,,,
3042,Planning Civil,4/30/2013,1,1,UN,"LADDER, FIBERGLASS, EXT., ROVER LCS 430 GFA 14'/25",Found @ PSC Clubhouse. In Good Condition. Return to PSC Sinter Plant.,,Operational In Good Condition,,
3875,Planning Civil,6/30/2019,4,4,SET,ELECTRICAL RAIL TIE TAMPER; CAPEX NO. 200201 (1 ITEM Damaged - TO RETAIN AS SPARE),Four (4) units were found @ SANKYU. One (1) unit - DAMAGED and RETAINED as spare. Three (3) units OPERATIONAL and IN GOOD CONDITION. Brand: RAILMAN IT450E,,Operational In Good Condition,,
4120,Planning Civil,1/31/2022,1,1,UN,DIAMOND CORING TOOL DD120; HILTI; CAPEX200297,Found @ Civil Shop. Two (2) items tagged. In Good Condition. Brand: HILTI / Model : DD120 / SN : 035745 / Accessory : HILTI DWP 10 - Tagged as Asset 4120 (2),,Operational In Good Condition,,
2349,Planning Civil,,1,1,PC,Circular Saw Makita Brand,,,,,
2273,Planning Civil,,1,1,PC,Diamond Blade Cutter 18,,,,,
2297,Planning Civil,,2,2,PC,Rotary Hammer PR-38E,,,,,
,,,,0,,,,,,,
2507,Powerplant,1/14/1993,1,2,PC,Grinder Bench Wheel Size 7x1x5/8,"Found @ Powerhouse. Serviceable. Brand/Model: Black & Decker 6820, SN: 9613, 3/4 HP 8"" Bench Grinder",,Operational In Good Condition,,
2420,Powerplant,3/21/2000,1,2,PC,Piston Tools Set#8,Found @ Powerhouse. Serviceable. 5pc set,,Operational In Good Condition,,
2922,Powerplant,6/30/2012,1,1,PC,"FLOWMETER, BUNKER,  EG LS5676-400A, OVAL FLOWPET","Found @ DF. Serviceable. Brand/SN: Oval Flowpet/ LS5376-212 A; Bore Size: 40mm, Max Temp: 120°C",,Operational In Good Condition,,
3146,Powerplant,12/31/2013,1,1,UN,"SENSOR,RESISTANCE TEMPERATURE DETECTOR (RTD), ELE",Found @ condeser inlet. Serviceable. TE605A,,Operational In Good Condition,,
3274,Powerplant,8/1/2014,1,1,SET,VIBROCONTROL 1500 - VIBRATION MONITORING  (ELE),Found @ SHR condenser (front). Serviceable. Brand/SN: Brüel & Kjær Vibro/ 00001098,,Operational In Good Condition,,
3275,Powerplant,8/1/2014,1,1,SET,VIBROCONTROL 1500 - VIBRATION MONITORING  (ELE),Found @ SHR condenser (front). Serviceable. Brand/SN: Brüel & Kjær Vibro/ 00001097,,Operational In Good Condition,,
