Asset No.,Department,Capitalization Date,QTY,Overall QTY,BUn,Asset description,Other Identifiers,,Status,Corrective Action Taken                                                                              ,
3297,Electrical,11/30/2014,1,1,UN,"KNIPEX CRIMP TOOL, PART NO. 97 52 10 (ELE)",Found Operational @ ELE Instru (BRAND : KNIPEX) RG: 58/59/62/7,,Operational In Good Condition,,
3473,Electrical,9/30/2015,1,1,UN,AHD HYBRID CCTV TEST MONITOR (ELE),Found Operational @ELE Instru. (S/N : A15070-2K73P150713002),,Operational In Good Condition,,
3480,Electrical,10/31/2015,1,1,UN,"DRILL HAMMER, MODEL #HR 2020, BRAND-MAKITA (ELE)",Found Operational @ ELE Instru. (BRAND : MAKITA HR 2020-0322767),,Operational In Good Condition,,
3764,Electrical,5/31/2018,1,1,UN,"WEIGHING SCALE, SARTORIUS MIDRICS, CAP: 60KG","Found Operational @ ELE Instru. (BRAND : MINEBEA INTEC MIDRICS1, S/N : 36266414)",,Operational In Good Condition,,
2386,Electrical,9/2/1988,2,2,PC,Generator Swemar Type LSW-251 *1 item Not Found (Unverified),"1 pc - Found Operational. (Brand : Leader , S/N : 6010267), 1 PC For verification @ Receiving Station",,Operational In Good Condition,,
2344,Electrical,11/15/2006,1,1,SET,UL Transidyn (1-pc Electric Hoist 2-ton cap),Operational. Not TAGGED. Installed @ SINTER E/R 1ST FLR.,,Operational In Good Condition,,
2387,Electrical,9/2/1988,1,1,PC,Oscilloscope Dual 350MHZ VP 55358,Located @ Receiving station. Not tagged,,Operational In Good Condition,,
,Electrical,,,0,,,,,,,
2351,Electrical,,1,1,PC,Calipher Digital Stainless Steel,,,,,
2394,Electrical,,1,1,PC,Capacitance Tester 8DC Sanwa,,,,,
3109,Electrical,,1,1,UN,"METER, DIGITAL MULTI-METER (ELE)",,,,,
2398,Electrical,,1,1,PC,Set CIG Comet Cutting Tools,,,,,
2397,Electrical,,1,1,PC,Voltage Regulator,,,,,
2395,Electrical,,1,1,PC,Signal Injector,,,,,
2391,Electrical,,1,1,PC,Portable Voltage Recorder,,,,,
2390,Electrical,,1,1,PC,Elec. Blower 5HP 150V 95cm,,,,,
2384,Electrical,,1,1,PC,Desoldering & Resoldering Tools,,,,,
2381,Electrical,,1,1,PC,Digital voltmeter,,,,,
2378,Electrical,,1,1,PC,Portable High Current Test Set,,,,,
2375,Electrical,,1,1,PC,Digital Thermometer w/ Probe Kit,,,,,
2374,Electrical,,1,1,PC,Calibrator Portable w/ carrying,,,,,
2373,Electrical,,1,1,PC,Needle Scaler Pneumatic Type,,,,,
2368,Electrical,,2,2,PC,No.2-S Spiral Rachet Pipe Reamer,,,,,
2366,Electrical,,1,1,PC,"Wrench,Socket Set 3/8Sq.Drive",,,,,
2364,Electrical,,1,1,PC,"Collector/Analyzer,Data Microlog",,,,,
2360,Electrical,,1,1,PC,Portable Clamp-on Ultrasonic Flowmeter,,,,,
2355,Electrical,,1,1,pc,Digital Electronic Interchangeable,,,,,
2356,Electrical,,1,1,PC,Digital Barometer 6-line,,,,,
2353,Electrical,,1,1,PC,Puller Nail 17L,,,,,
2352,Electrical,,1,1,PC,Electronic Calipher Digital RS,,,,,
2399,Electrical,,0,0,,Addl Cost:Portable Digital Watt Meter,,,,,
2268,Electrical,,1,1,PC,Hole Saw Set Carbide,,,,,
2267,Electrical,,1,1,PC,"Dies, Rigid Pipe #65 R",,,,,
2265,Electrical,,1,1,PC,Portable Watt Meter Digital Type,,,,,
2289,Electrical,,0,0,,Addl Cost:Portable Digital Watt Meter,,,,,
2263,Electrical,,1,1,PC,Hole Saw Set Carbide,,,,,
2303,Electrical,,1,1,PC,Vibration Pen CRVP-50,,,,,
2939,Electrical,,1,1,PC,"DETECTOR, MULTI GAS, PORTABLE , MODEL:TETRA3 (ELE)",,,,,
2969,Electrical,,1,1,PC,"GRINDER, STRAIGHT, 6MM, MAKITA 906 (ELE)",,,,,
3107,Electrical,,1,1,UN,"METER, DIGITAL MULTI-METER (ELE)",,,,,
3108,Electrical,,1,1,UN,"METER, DIGITAL MULTI-METER (ELE)",,,,,
3236,Electrical,,1,1,UN,"DIGITAL CLAMP METER, DCM400 SERIES (ELE)",,,,,
3400,Electrical,,1,1,UN,"DIGITAL INSULATION TESTER, MODEL  IIT1601 (ELE)",,,,,
,,,,0,,,,,,,
3241,HR,7/31/2014,1,1,UN,"HAND DRYER, WALL MOUNTED (HRGA)","Brand : Alpha ( 220V, 880W)  Model: 6SQ88. OPERATIONAL for Cleaning. Tagged Updated",,Operational In Good Condition,,
3244,HR,7/31/2014,1,1,UN,LADDER ALUMINUM – 12 STEPS (HRGA),OPERATIONAL and in VERY GOOD Condition.  Tagged Updated.,,Operational In Good Condition,,
3390,HR,5/31/2015,1,1,UN,"HAND DRYER – AUTOMATIC, BRAND - ALPHA (HRGA)","Brand : Alpha ( 220V, 880W)  Model: 6SQ88. OPERATIONAL and VERY GOOD CONDITION  for Cleaning. Tagged Updated",,Operational In Good Condition,,
2875,HR,12/31/2011,1,1,PC,"SOLDERING STATION, 230V 80W","Brand : Weller PUD81 ( 50/60Hz, 95W )SN: 088 06/11 9242. OPERATIONAL and VERY GOOD CONDITION . Tagged Updated",,Operational In Good Condition,,
3324,HR,12/31/2014,3,3,UN,EXTENSION FIBERGLASS LADDER @ JSH – SURE STEP (HRGA),"Found. In GOOD Condition.  1 unit @ PSC STAFFHOUSE, 2 units found @ PSC Clubhouse",,Operational In Good Condition,,
3325,HR,12/31/2014,2,3,UN,JSH INSTALLATION OF  ELECTRONIC DOOR LOCK (HRGA) ,2 UNITS Found. In GOOD Condition (YALE Front and Back Door). ,,Operational In Good Condition,,
3379,HR,4/30/2015,1,1,UN,EMERGENCY ESCAPE LADDER @ JSH (HRGA),"4 UNITS FOUND. 1 DAMAGED unit @ Guest room, 2 Corroded UNITS @ Japanese Exec. Rooms, 1 Unit Not used and inside storage.",,Operational In Good Condition,,
2659,HR,6/30/1995,-,0,-,Add'l cost to Fire Fighting Equipt,FOUND. OPERATIONAL. ADMIN Fire Alarm System,,Operational In Good Condition,,
2660,HR,6/30/1995,1,1,PC,Fire Fighting Equipment,FOUND. OPERATIONAL. ADMIN Fire Alarm System,,Operational In Good Condition,,
2661,HR,6/30/1995,-,0,-,Add'l Cost to Fire Fighting Equipment,FOUND. OPERATIONAL. ADMIN Fire Alarm System,,Operational In Good Condition,,
2658,HR,6/30/1995,1,1,PC,Mini Oil-Water Separator at Uniflow,FOUND @ UNIFLOW,,Operational In Good Condition,,
2281,HR,6/30/2002,1,1,PC,Mini Oil-Water Separator at Uniflow,FOUND @ UNIFLOW,,Operational In Good Condition,,
2650,HR,,1,4,PC,Search Light TG-14 POST NO. 6,,,,,
2650,HR,,1,4,PC,Search Light TG-14- POST NO. 12,,,,,
3240,HR,,1,1,UN,"HAND DRYER, WALL MOUNTED (HRGA)",,,,,
3242,HR,,1,1,UN,"HAND DRYER, WALL MOUNTED (HRGA)",,,,,
2652,HR,,1,1,PC,Physical Fitness Equipment,,,,,
2654,HR,,1,1,SET,Physical Fitness Equipment,,,,,
2346,HR,,1,1,UN,"Mower, Lawn Briggs & Straton 3.5HP",,,,,
2347,HR,,1,1,UN,Floor Polisher Heavy Duty 16,,,,,
2301,HR,,2,2,PC,Calculator Desk Casio DR-120LB,,,,,
2331,HR,,1,1,PC,Glucometer (for Med.Clinic use),,,,,
3243,HR,,1,1,UN,"HAND DRYER, WALL MOUNTED (HRGA)",,,,,
2656,HR,,1,1,PC,"Firemen's Boots,Size:7 & 8",,,,,
2651,HR,,2,2,PC,"Grasscutter,M:TD40;#749002/749003;Air Cool",,,,,
2648,HR,,2,2,PC,Metal Detector (portable),,,,,
2304,HR,,1,1,PC,Grasscutter,,,,,
2345,HR,,1,1,UN,Grasscutter Model TD40 Air cooled,,,,,
2348,HR,,1,1,UN,Vaccuum Cleaner Heavy Duty,,,,,
2657,HR,,1,1,PC,Scale Weighing Bar type 150kg cap,,,,,
3325,HR,,1,3,UN,JSH INSTALLATION OF  ELECTRONIC DOOR LOCK (HRGA),,,,,
2650,HR,,2,4,PC,Search Light TG-14- POST NO. 10 & 11,,,,,
,,,,0,,,,,,,
2407,Laboratory,5/6/1986,1,1,PC,Electric Drill,Found Operational w/ Minor damage on wiring. Model/Brand: MAKITA,,Operational In Good Condition,,
2298,Laboratory,6/26/2003,1,1,PC,Noise Level Meter,OPERATIONAL. BRAND: EXTECH INSTRUMENT RS 232 S/N: 3039687,,Operational In Good Condition,,
3187,Laboratory,4/30/2014,1,1,UN,GLASS BODY REFILLABLE pH ELECTRODE (LAB),OPERATIONAL. GOOD CONDITION. BRAND: COLE PARMER S/N: 5991-36 APR15,,Operational In Good Condition,,
3496,Laboratory,4/1/2015,1,1,UN,SMALL EIRICH MIXER EQUIPMENT w/ TRANSFORMER (LAB),OPERATIONAL. GOOD CONDITION. LOCATION: SAMPLING HOUSE,,Operational In Good Condition,,
3494,Laboratory,4/1/2015,1,1,UN,REPLACEMENT OF TOP LOADING BALANCE (LAB),OPERATIONAL. GOOD CONDITION. BRAND: SARTORIUS BSA 22025 S/N: 31890315,,Operational In Good Condition,,
3809,Laboratory,12/31/2018,1,1,PC,ROTOR TOOL R082351200NJ01 FOR LAB HIGH SPEED MIXER,OPERATIONAL. GOOD CONDITION. LOCATION. SAMPLING HOUSE,,Operational In Good Condition,,
2293,Laboratory,,1,1,PC,De-ionized Water Apparatus Digital,,,,,
3179,Laboratory,,1,1,UN,GRASS CUTTER-MODEL NO TD40 (LAB),,,,,
2305,Laboratory,,1,1,PC,"Analyzer, Portable Combustion Gas",,,,,
2406,Laboratory,,1,1,PC,Dry Test Meter DP-5A-10 Cap,,,,,
2405,Laboratory,,1,1,PC,Elec. Analytical Balance AA250,,,,,
2404,Laboratory,,1,1,PC,"Water Tester DO,PH Temperature",,,,,
2403,Laboratory,,1,1,PC,"Cutter,Crushing,C.W.Alloy Hard",,,,,
2402,Laboratory,,1,1,PC,Electronic Spectrophotometer,,,,,
2401,Laboratory,,1,1,PC,Anemometer/Recorder Model KVS 320,,,,,
2400,Laboratory,,2,2,PC,Weighing Balance Platform,,,,,
2275,Laboratory,,1,1,PC,Jenco PH Meter Model 609KC,,,,,
2322,Laboratory,,2,2,PC,Portable Carbon Monoxide Gas Detector,,,,,
2310,Laboratory,,1,1,PC,Digi Sense Type:JTEKJ Thermocouple,,,,,
3075,Laboratory,,1,1,UN,"THERMOCOUPLE, THERMOMETER (LAB)",,,,,
3147,Laboratory,,1,1,UN,"SENSOR,RESISTANCE TEMPERATURE DETECTOR (RTD), ELE",,,,,
,,,,0,,,,,,,
2350,Mechanical,9/30/2008,1,1,SET,Installer Huck Bolt (Maintenance tools),Found Operational *Six (6) boxes with tools inside,,Operational In Good Condition,,
3070,Mechanical,6/30/2013,1,1,UN,"TOOLS,CALIPER, VERNIER, MITUTOYO, 300MM (MEC)",Found Operational. S/N:12200349,,Operational In Good Condition,,
3101,Mechanical,9/30/2013,1,1,UN,"MEASURING DEVICE-CALIPER, VERNIER, MITUTOYO (MECH)",Found Operational.   Size: 600MM,,Operational In Good Condition,,
3113,Mechanical,10/31/2013,1,1,SET,"GAUGE BORE, MITUTOYO BRAND (MEC)","Found Operational. Five (5) items.
(1) 35~60mm SN: 21772573
(2) 18~35mm SN: 900608019
(3) 50~150mm SN: 21759802
(4) 100~160mm SN: 21754736
(5) 160~250mm SN: 22823260",,Operational In Good Condition,,
3119,Mechanical,10/31/2013,1,1,SET,"SKIVER BELT FSK2, FLEXCO (MEC)",,,Operational In Good Condition,,
3120,Mechanical,10/31/2013,1,1,SET,"TOOL APPLICATOR-MSRT-48-AL, FLEXCO (MEC)",,,Operational In Good Condition,,
